
VERSION 1
1) B
2) B
3) D
4) B
5) B
6) B
7) A
8) C
9) A
10) A
11) D
12) C
13) A
14) B
15) D
16) A
17) A
18) D
19) A
20) B
21) C
22) C
23) B
24) A
25) D
26) A
27) A
28) B
29) B
30) C

VERSION 2
1) B
2) A
3) A
4) C
5) D
6) A
7) C
8) A
9) C
10) A
11) A
12) A
13) A
14) B
15) B
16) B
17) B
18) C
19) D
20) A
21) A
22) D
23) B
24) A
25) B
26) B
27) D
28) E
29) C
30) B

VERSION 3
1) B
2) B
3) D
4) C
5) B
6) A
7) B
8) A
9) D
10) A
11) B
12) B
13) B
14) A
15) B
16) C
17) A
18) B
19) D
20) A
21) D
22) C
23) A
24) C
25) A
26) D
27) C
28) A
29) B
30) A

VERSION 4
1) B
2) A
3) D
4) B
5) B
6) A
7) A
8) B
9) B
10) A
11) B
12) B
13) A
14) C
15) A
16) C
17) E
18) C
19) A
20) A
21) D
22) A
23) D
24) C
25) C
26) A
27) B
28) B
29) D
30) A

VERSION 5
1) C
2) B
3) B
4) D
5) B
6) D
7) C
8) A
9) A
10) A
11) C
12) D
13) C
14) B
15) B
16) B
17) A
18) B
19) A
20) C
21) D
22) B
23) A
24) B
25) A
26) A
27) D
28) B
29) A
30) A

VERSION 6
1) A
2) A
3) A
4) B
5) A
6) C
7) B
8) A
9) D
10) B
11) D
12) B
13) A
14) A
15) A
16) B
17) B
18) B
19) C
20) C
21) C
22) D
23) E
24) A
25) A
26) C
27) D
28) B
29) B
30) A

VERSION 7
1) B
2) A
3) C
4) C
5) A
6) C
7) D
8) D
9) B
10) A
11) B
12) A
13) B
14) C
15) B
16) A
17) A
18) D
19) B
20) A
21) B
22) D
23) B
24) A
25) D
26) B
27) A
28) A
29) C
30) B

VERSION 8
1) B
2) A
3) A
4) A
5) A
6) C
7) B
8) B
9) A
10) B
11) D
12) B
13) B
14) C
15) A
16) C
17) D
18) B
19) A
20) A
21) C
22) B
23) D
24) E
25) A
26) D
27) C
28) A
29) B
30) A
